pitcher,FF,SI,FC,SL,CH,CU,FS,KN
282332,2098,2053,2195,2210,1885,,,
407845,2187,2037,,2253,1740,,,
424144,2192,2161,,2279,,,,
425794,2195,2178,2345,,1769,2754,,
425844,2328,2255,2409,2512,1787,2447,1703,
429719,2270,2112,2339,2299,2221,2518,,
429722,2070,2024,,2307,1518,,,
430935,2059,2034,1994,,1713,2040,,
433587,2151,2060,,2317,1734,2441,,
433589,2230,,2224,,1887,2125,,
434378,2574,,,2615,1873,2822,,
434538,2069,2047,,2289,1684,,,
434671,2243,2140,2318,2306,1447,2114,1722,
435043,2158,1993,,2495,,2348,,
444468,2087,2038,,2343,1814,,,
445197,2327,2205,,2415,,2222,,
445213,2021,2018,,2297,2130,,,
445276,2334,,2557,2389,,,,
445926,2312,2124,2311,2333,2063,2429,,
446321,2214,2098,2257,2177,1644,2145,,
446372,2332,2210,2503,,1804,2538,,
448179,2472,2412,2646,2835,1681,2914,,
448281,2222,,,2399,,,2133,
448609,2065,,,2007,,,969,
448614,2335,2019,2330,2437,,2365,,
448855,2459,2353,,,,2651,1235,
450172,2280,2291,,,1237,2726,,
450203,2265,2108,2437,,,2892,2124,
450212,,2099,2022,2234,1376,,,
450306,2234,2203,,,2208,2433,,
451584,2415,2382,2722,,2357,2582,,
452657,2251,2143,2391,,1939,2606,,
453172,2141,1869,,2095,1551,2074,,
453178,2439,,2209,,2027,2687,,
453192,2086,1994,,2605,2732,,,
453214,2044,1913,,,,,,
453265,2347,2328,,2367,2380,,,
453281,1935,1888,2005,,1544,2272,,
453284,2140,,2181,,,2170,1045,
453286,2483,,2439,2379,1541,2730,,
453329,2148,2120,2273,,1538,2707,,
453343,2342,,2350,,,2709,1806,
453385,2284,2185,,2219,1581,,,
453562,2275,2196,,2363,1730,2766,,
455119,2297,2271,2256,2299,1663,,,
456034,2209,2188,2193,,1800,2264,,
456051,,2125,,2202,1858,2586,,
456387,2045,,,,1849,,,1974
456501,2292,2212,,2344,1386,2417,,
456696,2367,2275,2400,,2281,2341,,
456701,2092,2031,,1837,,1925,1121,
457754,2444,,,2602,,2586,,
457915,2089,,,2101,1574,2288,,
457918,2320,2104,,2191,1713,2214,,
458006,2139,2036,,2405,1530,,,
458677,2374,,2459,2566,,,,
458681,2482,2308,2583,,1811,2352,,
458708,2189,2142,2608,,1742,2805,,
458924,2247,2168,,2231,1713,,,
459429,2212,,,2031,,,,
460283,2223,,,,1733,2439,,
461325,2363,2253,,,2042,2178,1450,
461829,2261,2145,,,1623,2688,,
461872,2284,2117,,2449,,,,
462136,2281,,2403,,1988,2626,,
465657,2302,2338,,2711,1500,2751,,
467008,2374,2361,2344,2429,,,1758,
467100,2246,2162,2143,,2000,2258,,
468504,2158,2080,,2354,1422,2582,,
471911,2391,2258,,2729,1447,2886,,
472551,2207,2131,,,1490,2588,,
472610,2098,2071,,2315,,,1060,
473879,2337,2251,2588,3270,1986,,,
474463,2028,1799,,2384,1481,2393,,
475054,2490,2440,2698,2956,,2646,,
475115,2498,2376,2473,2640,,,,
475479,2346,2231,2411,,2112,2648,,
476451,2126,2118,2426,,1861,2845,,
476589,2151,2027,,2226,1771,2104,,
476594,2201,2014,,2865,1608,,,
477132,2479,,,2671,2210,2465,,
488748,2274,,2247,,,2087,,
488768,2204,2048,,2255,1545,2349,,
489119,2210,2057,2259,2398,1870,2432,,
489265,2308,2171,,2824,2155,,,
489295,2056,2066,2167,,,,,
489334,2129,2170,,2341,2009,2363,,
489446,2307,,,2265,,,1399,
491646,2035,1991,,2094,1255,2273,,
493200,2218,,2192,2185,1710,2454,,
493603,2393,2395,2682,2879,,,,
500724,1950,,,2145,979,2329,,
500779,2016,1977,,,1287,2215,,
501381,1999,1953,,2011,1864,,,
501593,,2114,,,2210,2450,,
501625,2392,2347,2374,2354,1921,2395,,
501789,2520,,2533,,,2774,,
501925,2179,1982,,2349,1730,,,
501985,2650,,,2737,2287,2534,,
502026,2185,2017,,,,2385,1681,
502042,2264,2237,,2613,1642,2676,,
502043,2210,2099,,2469,1661,2481,,
502085,2494,,2587,2701,,2664,,
502154,,2002,,2568,,,,
502171,2075,,,,,2494,1538,
502188,2571,2480,2607,2449,,2498,1451,
502190,2086,2022,2232,2506,1719,2572,,
502202,2212,,,2242,1320,,,
502239,2220,2207,2154,,1566,2950,,
502327,2117,2078,,2051,2054,2003,,
502381,2288,2177,,2605,1655,,,
502522,2410,2253,,2648,2178,,,
502593,2089,2079,,2071,2005,,,
502624,2166,2167,2382,,2311,2170,,
502706,,2386,,2243,1864,2098,,
502748,2295,2228,,2749,1975,2599,,
503285,2367,2179,,2235,,,,
503449,1872,1832,,2203,1585,2095,,
504379,2075,2013,,1934,1918,,,
506433,2529,2280,2651,2725,1322,2624,1438,
516969,2229,2192,2289,2676,1781,,,
517008,2127,,2149,,2138,,,
518397,,2271,,2311,1650,,,
518452,2037,2023,2292,,1370,2539,,
518489,2359,2320,,2481,1566,,,
518516,2405,2400,2488,,1641,2645,,
518553,2409,2372,,2282,1975,,,
518566,2282,,2271,2395,1956,2535,,
518617,2212,2095,,2814,1609,,,
518633,2242,2181,,2310,2295,2346,,
518715,2311,2276,,2826,2225,,,
518774,2171,2170,,2413,1774,2516,,
518813,2243,,,2070,1695,2297,,
518858,,2445,,2276,2064,,,
518875,2396,,,2431,2488,,,
518876,2411,2313,2433,,2109,2683,,
518886,2323,,,,,2533,,
519008,1859,1915,,2252,1731,,,
519043,2244,,2112,,1918,2359,,
519076,2452,2318,,2794,1431,2770,,
519096,2097,2012,,2135,1359,,,
519141,2437,2358,2346,,1967,2282,,
519144,2434,2289,,2555,1600,2810,,
519151,2567,,,2742,,3302,,
519166,2425,,,2364,,2731,,
519242,2383,2293,,2492,1965,,,
519293,2219,,,2333,1837,2022,,
519326,2374,2323,2539,2791,1839,,,
519393,2228,2100,2279,2381,,,,
519443,2126,,2196,,,2608,,
519455,2284,2201,,2288,1708,2372,,
520980,2328,2307,,1743,2000,,,
521230,2383,2160,,2159,,2122,,
521655,2370,2270,,2259,,2492,1333,
523260,2158,2128,,,2079,3104,,
525768,2231,,,2295,,2649,,
527048,2131,2051,2307,,1795,2637,,
527054,2399,2264,,2603,1704,2762,,
532077,2491,2369,2515,2505,1876,2565,,
533167,2197,2066,,2036,,2005,1167,
534910,2424,2360,,2772,1539,,,
542585,2428,2312,,2511,1764,,,
542866,2205,,,2504,1957,,,
542881,2333,2268,2548,,2050,2377,,
542882,2337,2180,,2460,2223,2671,,
542888,2521,,2597,2863,,,,
542914,2057,2047,,2294,,,1229,
542947,1909,1943,1949,1970,1590,,,
542953,,2094,,,1579,2632,,
542960,2210,2117,2390,2509,1871,,,
543001,2178,2103,,2689,1864,2769,,
543022,2479,2516,2760,,1789,3092,,
543037,2538,2509,,2622,1889,2896,,
543045,2330,,,2112,2033,2208,,
543101,2249,2086,,2315,1535,2048,,
543118,2149,,2176,,,,1084,
543135,2186,,2345,2237,,2174,1578,
543169,2264,2227,,2323,1671,,,
543193,2008,,,2330,1934,2515,,
543208,,2092,,2140,1232,2128,,
543243,2527,2441,2570,2868,2047,2988,,
543272,2420,2303,,2474,,,,
543278,2235,2173,2357,,1982,1952,,
543294,2044,1959,,,2115,2784,,
543339,2474,2445,,2638,2384,,,
543351,2383,,,2444,1885,,,
543359,2375,2291,,2518,,,,
543475,2162,2135,,2333,1549,2491,,
543483,2334,,2388,2501,2361,2550,,
543507,2348,2345,,2556,1988,2527,,
543521,2317,2322,2560,2825,1625,2797,,
543532,2006,,,2286,2230,2358,,
543548,2192,,,2328,1745,2471,,
543557,1978,1888,2050,,1787,2281,,
543606,2240,,2163,,,2253,1492,
543699,2145,2087,,2255,1701,2746,,
543766,,,2396,2721,1549,2593,,
543883,2351,2166,2417,2560,1849,,,
543901,2122,2092,,2246,1816,2415,,
543903,2197,2143,,2456,1919,,,
543935,2388,2156,2512,2455,1788,,,
544365,2131,1896,,2265,1663,2602,,
544727,2211,2180,,2245,,,1754,
544928,2173,2172,,2444,1647,,,
544931,2170,2138,,2250,1683,2772,,
545064,2203,2142,,2413,,,,
545333,2415,2349,2632,2740,1697,2549,,
547179,2538,2372,2596,2635,2150,2531,,
547888,2141,1917,2085,2386,,2390,1589,
547943,2085,2021,2066,2379,1496,2577,,
547973,2486,2539,,2489,1695,,,
548389,2274,2134,2314,2370,1585,2652,,
552640,2351,2290,,2744,1114,,,
553878,2622,2470,,2746,2021,2784,,
554340,2593,2507,,2663,1946,2801,,
554430,2341,2256,,2386,1771,2647,1383,
570240,2091,2099,,2498,1675,,,
570488,2449,2456,,2446,2137,,,
570632,2044,2157,,2315,1712,2328,,
570663,2431,2423,,2406,1588,,,
570666,2304,2233,,2501,1643,2397,,
571510,2384,2356,2330,2377,1959,2248,,
571539,,2086,2104,,1645,,,
571578,2297,2202,,2398,1639,1989,,
571656,2346,,,2657,1800,,,
571666,2322,2256,,2481,1933,2781,,
571670,2292,2233,,2156,2124,,,
571704,2323,2330,,2245,,,,
571710,2383,,,2476,2101,,,
571735,2264,2179,,,1717,2294,,
571760,,2524,,,1988,2545,,
571858,2174,,,2296,1536,,,
571863,2123,,2149,,1668,2404,,
571882,2132,,,2245,2014,2045,,
571917,2400,2311,,2706,1557,,,
571927,,2102,,2069,2301,2447,,
571945,2304,2227,,2321,1707,2585,,
571946,2328,2310,2188,,1870,2325,,
572020,2264,,2080,,2076,2021,,
572021,,2045,,2185,,,,
572044,2183,,,2381,1562,,,
572070,2673,2664,,3013,,3431,,
572086,2430,1660,2385,2820,1782,2876,,
572096,2348,2295,,2212,1788,,,
572125,2293,,,2513,,,,
572140,2193,,,,1699,2608,,
572143,2279,2153,,2247,1866,2388,,
572193,2274,2252,2394,2374,1215,,,
572362,2376,2242,,2491,1546,2598,,
572383,2298,2244,,,,2423,,
572403,2318,2239,,2279,2127,2414,,
572703,2746,2755,,2891,1823,,,
572888,2295,2173,2472,2591,1714,,,
572971,2127,2008,2139,2245,1577,,,
572998,2204,2144,,2586,,2415,,
573046,2136,1999,,2118,1461,,,
573124,2222,2077,,2534,,2663,,
573127,2009,2009,,2492,,,,
573185,2365,2208,,2643,1669,2729,,
573186,2455,2345,2615,2838,1929,2671,,
573668,2313,,1702,2194,1571,2263,,
579328,2096,,,2220,1772,2527,,
580792,2229,,,2390,,,,
582494,2011,2102,,2276,1586,2420,,
584171,2175,2052,,2120,1480,2162,,
591693,2420,,,2542,1928,,,
592094,2580,,,,1815,2539,,
592102,2460,,,,,2534,,
592135,2377,,,2630,,,1791,
592145,2532,2576,,2350,,2591,,
592165,2297,2229,,2097,1670,,,
592169,2351,2056,,,1809,2903,,
592222,2056,1984,,2238,2177,2099,,
592229,2124,2070,2162,2045,1306,2447,,
592233,2121,2047,,,1773,2546,,
592280,2095,,,2281,1456,,,
592314,2236,2181,,2442,1870,2435,,
592332,2250,,,2264,,,1593,
592346,2428,2302,2535,2632,1708,,,
592351,2066,1799,,2220,1559,2518,,
592390,2456,,,2624,,2760,,
592426,2303,,,2580,2134,2650,,
592454,2289,,,2484,1483,,,
592468,2311,2165,2281,2355,2045,2373,,
592473,2212,2153,1329,1980,2173,,,
592612,2367,2359,2269,2288,1686,,,
592644,2265,,,2460,1630,2886,,
592662,2257,2182,,2145,,2045,,
592712,2298,2080,,2287,2163,,,
592716,,2016,,2595,1856,2516,,
592717,2252,2241,,,1810,2841,,
592761,2425,,,2297,1918,,,
592767,2086,,2041,,1209,1950,,
592773,2363,,,2251,,,1103,
592779,2408,2411,,2351,1653,,,
592789,2197,2106,,2178,1689,2275,,
592791,2328,2288,,2473,1897,2746,,
592804,2518,,,,1538,2826,,
592815,2199,2137,,1957,,2276,,
592826,2398,2025,,2467,,2475,,
592858,2350,,2356,2361,,2582,,
592865,2382,2372,,2609,2010,,,
592866,2203,1937,,2202,1814,2259,,
592879,2235,,,2408,2000,2371,,
593140,2312,,,2374,1950,,,
593144,2506,2432,,2421,1833,,,
593334,2440,2420,,,2414,2599,,
593372,2128,2003,2293,2156,1896,,,
593423,2421,2359,,2509,,,1636,
593576,2477,2373,,,,,1519,
593679,2049,2029,,2280,2007,2306,,
593833,2471,,2555,,2103,2834,,
593958,2202,2142,2226,2214,2049,2285,,
593974,2171,2199,,2253,2186,,,
594027,2178,2153,,1954,,,,
594056,2397,,,2184,,,,
594311,2414,2350,,2321,,,,
594577,2353,,,2199,2129,2620,,
594736,2402,,2581,,2239,2563,,
594795,2264,,2206,2211,,2451,,
594798,2388,2281,,2454,1703,2567,,
594835,2208,2253,2245,,2171,2346,,
594840,,1818,1882,2001,1577,,,
594965,2336,,2474,2426,2227,2723,,
594986,2070,1982,2187,,1773,2424,,
594987,2449,2341,2600,,1762,2911,,
595001,2331,2375,2569,2615,1899,2920,,
595014,2415,2250,2489,2609,,,,
595191,2415,2391,,2564,,2744,,
595465,2542,2042,2522,,,2642,,
595798,2263,2119,,2355,1712,2351,,
595881,2320,2260,,2199,1600,2292,,
595897,2422,,,2551,,,,
595918,2406,,,2374,2189,2349,,
596001,2079,1923,,2522,1336,2421,,
596027,2889,,,3024,,3236,,
596035,,2170,,2309,1936,,,
596043,2217,2086,2178,2342,1945,2526,,
596057,2385,2231,,2512,1568,2536,,
596071,2245,2182,,2388,1606,2909,,
596074,2262,,,2344,2267,2466,,
596101,2460,2220,2530,2474,,,,
596112,2434,,,2799,1644,,,
596133,2308,2455,2213,,1572,2216,,
596720,2276,,2325,,2032,2915,,
597113,2310,,2396,,1873,2641,,
598264,2411,,,,,2274,2113,
598271,2297,2336,,2574,1954,2697,,
598286,2032,1972,2178,,1471,2281,,
598287,2243,,,,2001,2741,,
600887,2156,,,,1915,2550,,
600917,2655,2430,,2713,2206,2667,,
600968,2033,1980,,2301,,1169,,
600986,2324,2266,,2381,1753,2096,,
601713,2340,2146,,2306,1928,2861,,
605121,2284,2279,,2260,1830,,,
605130,2303,2200,,2445,1593,2516,,
605135,2220,2146,2253,2313,2057,2238,,
605143,2612,,,2995,,,,
605151,2242,2134,,,1533,1978,,
605154,2392,,,2607,2174,,,
605155,2213,,2374,2587,1894,2825,,
605156,2083,2013,,2467,1645,2271,,
605164,2458,2288,,2573,1569,2404,,
605177,2193,2178,,2361,,,,
605182,2341,,,2516,1540,2310,,
605195,2368,2274,,3246,2193,,,
605200,,2233,2313,2426,1785,2636,,
605218,2636,1829,,,1629,2344,,
605240,2446,2335,2609,,1624,2412,,
605260,2224,2165,1262,,1734,2998,,
605276,2184,2039,,2322,1595,2351,,
605280,2121,2013,,2424,1563,2684,,
605288,2193,2145,,2216,1553,2004,,
605301,2119,,,2065,1066,,,
605309,2266,,,,1846,2380,,
605347,1945,1878,,2199,1574,2450,,
605359,2469,2289,,,1717,2734,,
605388,2384,2407,,2796,1753,2994,,
605397,2419,2278,2514,2495,2001,2575,,
605400,2171,2132,,,1570,2574,,
605441,2083,2167,,1896,1682,2366,,
605446,2051,2058,2165,,1935,2589,,
605447,2261,2406,,2076,,,,
605452,2157,2098,,1936,1686,2109,,
605463,2223,2231,,2792,,,,
605469,2179,,,2148,1412,2215,,
605479,2645,2540,,3016,1860,,,
605482,2346,2383,2361,2350,1335,2378,,
605483,2358,,,2368,1822,2466,,
605488,,2205,,2163,1489,,,
605498,2040,1984,,2379,1652,2552,,
605501,2210,2131,,2229,2257,2665,,
605513,2396,2188,,2438,1810,2570,,
605525,2384,2213,,2511,1571,2578,,
605538,2160,2174,,2478,,2651,,
605540,2263,2168,,2327,1796,2298,,
605541,2257,2101,,2259,1803,2489,,
606131,1977,1891,,2295,,,1569,
606149,2429,,,2243,1938,,,
606160,2263,2239,,2434,2062,,,
606162,2380,2351,,2459,2049,2581,,
606167,2576,2478,,2507,1964,,,
606273,2479,2478,,,2116,2686,,
606424,2264,,,2380,2306,,,
606625,2385,,,2577,2081,,,
606930,2451,,2369,2165,,,,
606959,2101,1899,2158,2163,1016,2290,,
606965,2369,,,2296,1664,,,
607074,2154,2226,,2452,1714,,,
607188,2131,,,1849,,,1143,
607192,2322,,,,1774,2926,,
607200,1795,1809,2074,,,2355,1627,
607215,2091,1985,,,1568,2202,,
607219,2127,2166,,2513,,2297,,
607229,2200,2208,,2429,1748,2748,,
607231,2520,2466,2643,,1509,2653,,
607237,2117,2065,,1832,,,,
607352,2032,2156,2243,,1564,2821,,
607374,2303,2232,,2303,2030,,1019,
607391,1777,1836,2223,2286,1427,,,
607457,2362,,,2403,1400,2412,,
607473,2354,2323,,2664,2203,,,
607481,2091,2033,2227,2245,1636,,,
607536,2291,2269,,2235,1519,2256,,
607555,2218,2196,,1998,1465,,,
607560,1821,,1757,,1076,2333,,
607572,2345,,,2339,,,,
607625,2220,2238,,2435,1736,3285,,
607644,2376,,,2324,2331,2239,,
608032,2248,2215,,2394,1717,,,
608331,2077,1990,2115,2566,1514,2846,,
608334,2376,,2615,,1505,2795,,
608337,2333,,,2036,1563,2512,,
608344,1985,,,1943,1643,1973,,
608371,2641,2619,,3004,1923,3120,,
608379,2032,1940,2097,,1606,2066,,
608566,2225,2171,,2371,1969,2693,,
608638,2248,2321,,2297,,,,
608648,2309,2433,,2553,1798,2385,,
608652,2459,,,2555,,2567,,
608678,2279,2235,2485,2479,1757,,,
608716,2394,,,,,2048,,
608717,2498,2521,2453,2922,2106,3107,,
608718,2145,2185,,,1553,2263,,
608723,2201,,,2503,1978,2828,,
612434,,2287,,3029,2199,,,
612672,2138,2058,,2291,1372,2299,,
613317,2538,2407,,2601,,,,
613534,2601,2497,,2829,,,,
614179,2349,,,2261,1870,2043,,
615698,2135,2060,,2346,1429,2326,,
621056,2492,,,2555,1703,2328,,
621086,1882,1835,,,1264,2283,,
621097,2011,1983,1984,2121,1519,2168,,
621107,2186,2090,2227,2247,1787,2416,,
621111,2467,2354,2724,2901,1516,2947,,
621112,2141,2041,,2386,1733,2664,,
621114,2071,,2217,2310,,,,
621141,2245,2272,,,1519,2629,,
621142,2233,2047,,1868,1835,,,
621199,2021,1946,2117,2245,,2462,1182,
621219,2218,2202,,2609,1727,2511,,
621237,2221,2180,2533,,,2523,,
621242,2371,2349,,2367,,,,
621244,2191,2112,,,1705,2335,,
621249,2211,1967,,,1700,2353,,
621261,2115,2009,,2031,1471,1957,,
621294,,2405,,2393,1473,2413,,
621295,2189,,,2450,1891,2211,,
621345,2326,2379,2437,2156,1696,,,
621363,2291,,,,,2497,1261,
621366,,2200,,2253,1928,,,
621381,2308,2315,,2461,2086,2570,,
621385,2376,,,2257,1626,,,
621389,,2136,2444,2432,1906,2392,,
621397,2273,2249,,,1819,2775,,
621592,2422,2377,,2384,1871,,,
622065,2219,2208,2347,,1794,2379,,
622072,,2108,,,1658,2161,,
622075,2172,2159,,2408,1767,,,
622092,2282,,,2179,1439,2016,,
622103,2417,2342,,2437,,2226,,
622250,2304,,,2183,,2055,,
622251,2239,2250,2245,,,2728,,
622253,2121,2097,,2502,1793,2507,,
622259,2151,,,2180,,,,
622446,2370,2246,,,1739,2412,,
622491,2170,2073,,2330,1972,,,
622505,,2085,,2024,1710,,,
622554,2380,2393,,2438,1669,,,
622608,2102,,,2136,2059,2214,,
622663,2312,,,2726,1726,,,
622694,2247,2174,,2245,1886,,,
622766,2160,,,2257,1715,2448,,
622772,2146,2128,2072,2234,1657,,,
622786,2278,2224,,2362,1858,2517,,
622795,2223,,,2165,1766,,,
622797,,2366,,2543,1974,2763,,
622864,2241,2210,,2537,1772,,,
623149,2331,2093,,2241,1634,,,
623167,2144,2168,,2460,1267,2766,,
623184,2225,2261,,2537,1952,,,
623352,2124,1771,,2618,1590,,,
623354,2245,,,2703,1406,,,
623364,2227,,,2058,,2331,,
623381,2219,,,2348,1881,2447,,
623402,2230,2271,,2358,1501,,,
623430,2437,,,2622,1397,,,
623433,2332,,,,,2101,,
623454,2327,2164,2416,,1665,2708,,
623465,2244,2223,,2472,1299,,,
623470,2374,2410,,2437,1626,,,
623913,2163,2151,,2343,1922,2494,,
624133,2029,1955,,2122,1616,,,
624586,2179,2066,,2554,1496,,,
625643,2137,,,2120,1610,2084,,
626929,2017,,,1956,1629,2440,,
628317,2289,2229,,2518,1517,2687,,
628333,2125,2159,2596,2770,1405,2773,,
628452,2364,2428,,2531,1872,,,
628711,2512,2458,,2586,1855,2743,,
630023,2399,2278,,2335,,,1294,
639373,2409,,,2173,1287,,,
640451,2136,,,,1217,2157,,
640455,1960,,,2006,1464,,,
640462,2258,,,2218,1761,2177,,
640464,2152,2131,,2428,1824,2726,,
640470,2405,,,,1902,3013,,
641149,2318,2316,,2512,1595,,,
641154,2069,2036,,,1943,2358,,
641302,2257,2227,,2441,1584,2427,,
641312,2495,2335,,2649,1454,2519,,
641341,2567,,,2456,1714,,,
641438,2292,,,2209,1571,2455,,
641482,2191,2159,,2320,1467,2256,,
641541,2198,2129,,2213,1628,2385,,
641571,2219,2098,,2371,1712,2478,,
641627,2156,2036,,2314,1333,2099,,
641712,2168,2134,,2431,1489,2201,,
641729,2528,,,2329,2091,,,
641743,2301,,,,1920,2453,,
641745,2295,2100,,2510,1698,,,
641755,2272,,,2539,,,,
641778,2216,,2211,2393,1982,2376,,
641793,2078,2055,,2146,1744,1959,,
641816,2161,,2457,,,2595,1632,
641835,2114,2144,,2186,,,,
641838,2161,1985,,2111,1813,2133,,
641851,2359,2396,,2807,2189,2660,,
641853,,2383,,,,3054,,
641871,2429,,,2386,1878,,,
641941,2486,,2352,,,2544,,
642008,2526,,,2450,,,2227,
642028,2170,2155,,2239,1507,2444,,
642067,2006,2025,,2559,1982,2541,,
642073,2161,,,2574,1803,2314,,
642098,2251,,2071,2411,2032,2477,,
642100,2457,2377,,2341,1706,,,
642121,2335,,,2394,1804,,,
642152,2111,2146,2434,,1765,2505,,
642207,2341,2384,2252,1954,2625,,,
642226,2157,,,2025,1894,,,
642231,2350,2272,,2565,1677,,,
642232,2100,1988,2176,,2125,2405,,
642233,1999,2004,,,,2850,,
642397,2324,2345,,2326,2036,,,
642528,2425,2387,,,1700,2806,,
642545,2248,2215,,2239,1478,,,
642546,2130,2137,,2350,2337,,,
642547,2454,,,,1966,2424,,
642558,2031,1770,,2124,1946,2267,,
642578,2267,2204,,2241,2121,2411,,
642607,2270,2233,,2247,1786,,,
642701,,2565,,2867,2121,,,
642770,2346,2230,,2489,,,,
642840,2507,,,2637,1827,,,
643230,2068,1888,2211,2192,1582,2032,,
643256,2166,2133,,2153,,,2275,
643290,2342,2352,,2417,1734,,,
643316,2404,,,2737,1840,,,
643327,2255,2202,2238,,1717,2123,,
643338,2468,,,2256,,,1995,
643354,,2040,,2571,2139,,,
643466,2535,2433,,2560,1610,,,
643478,2451,,,,1645,2530,,
643493,2408,2412,,2658,1873,2999,,
643511,1893,1850,,,,2294,,
643615,2218,2192,,2009,1779,2142,,
643617,2310,2179,,2510,1624,2660,,
643778,2197,2144,,,1766,2294,,
645261,2356,2393,,2477,1923,2481,,
647336,2363,2177,,2780,2180,,,
650382,2354,2444,,2625,,2588,,
650530,,2270,,2513,2052,,,
650556,2220,,,2733,1545,2959,,
650644,2415,2268,2624,2805,2089,2930,,
650671,2387,,,,1710,2531,,
650813,2266,2167,,,1751,2227,,
650893,2260,2232,,,1785,2579,,
650895,2052,2127,,2351,,,,
656186,2389,,,2905,,,,
656222,2005,2047,2167,,1837,2586,,
656257,2428,,,2991,,,,
656271,2194,2093,,2328,2170,2201,,
656288,2335,,,2506,1671,2425,,
656302,2449,2403,,2622,1626,2622,,
656322,2380,2206,,,1767,2816,,
656354,2430,,,2533,2249,2615,,
656427,2229,2017,,2393,1700,2506,,
656464,2145,,,2120,1784,,,
656546,2453,,,2486,1425,2624,,
656547,2335,,2444,2779,1848,,,
656605,2473,,,2661,1705,2770,,
656685,2348,2272,,2276,,2256,,
656686,2413,,,2448,2046,2666,,
656713,2236,,2152,,1668,2037,,
656725,2154,2182,,2290,1454,2427,,
656794,2243,,,2859,1618,2881,,
656803,2270,2225,,1793,,,1144,
656887,2104,2148,,2166,1604,2077,,
656945,2412,2337,,2586,,,,
656954,1835,,,2475,1730,2404,,
656970,2438,,,2433,1796,2738,,
656977,2499,2474,,2959,2442,,,
657024,2274,,,2226,1640,,,
657031,2292,2260,,2348,2109,2277,,
657053,2226,2202,,,,2470,1465,
657097,2450,,,,2367,2472,,
657140,2412,2309,,2477,1769,2682,,
657141,2248,2371,2517,2793,1855,2637,,
657228,2182,2156,,2322,1652,,,
657277,2238,2055,,2718,1576,,,
657566,2438,,2846,,2034,2966,,
657571,2311,,,,1917,3023,,
657585,2291,,2404,2465,,,1740,
657610,2008,1934,,2269,1617,,,
657612,2241,2087,,2112,,,,
657624,2424,,,2549,1866,2574,,
657766,2313,2213,,2340,1476,,,
658305,2305,2274,,2357,1707,,,
658551,,2131,,2168,1917,,,
658791,2318,,,2075,2310,2639,,
658792,2350,,,2194,1554,2348,,
659275,2407,2380,,2653,1802,2710,,
660494,2005,,,2323,1522,2265,,
660761,2243,,,2476,1608,2788,,
660813,2101,2010,,2424,1674,,,
660853,2130,,,2100,1889,2041,,
661255,2195,,,2411,1457,,,
661403,2537,,2566,2615,,,,
662253,2271,2265,2198,2369,,,,
663423,2373,2317,2694,3089,,2795,1509,
663432,2438,,,2489,1538,,,
663465,2109,,2151,,1652,1884,,
663531,1997,,,2414,1186,2561,,
663567,2256,2247,,2164,1534,2277,,
663776,1970,,,2444,1662,2739,,
663855,2201,2031,,2439,1103,,,
663978,2230,,,,1707,2145,,
663992,2320,2294,,2451,1887,,,
664042,2217,,2497,,1574,2747,,
664045,1854,1777,,1853,1284,1944,,
664054,2245,,,2225,1475,,,
664062,2456,,,2553,,2657,1998,
664092,,2050,,2026,2072,,,
664126,2393,,,2239,,,,
664129,2479,2414,,2511,2059,,,
664139,2056,,,2233,2082,,,
664157,2112,,,,1714,2667,,
664180,2303,,2788,2895,1801,2927,,
664192,,2215,2232,,2091,,,
664196,2193,2248,2401,2434,1715,,,
664199,2316,2166,,2227,1520,2484,,
664208,2583,,2844,,,2764,,
664285,2228,2176,,,1802,2960,,
664353,2308,,,2587,2160,2606,,
664854,2518,,2491,,1621,2430,,
664856,2445,2439,,2986,1889,2901,,
664871,2046,,,2181,1708,2477,,
664918,2400,,2419,2873,,2695,,
665001,,2254,,2435,,2754,,
665093,2001,1836,,2184,,2406,1025,
666200,2406,2308,,2512,1977,2489,,
667498,2191,2070,,2311,1454,2350,,
668665,2403,2334,,2360,1697,,,
668676,2133,,,2028,1543,1955,,
668678,2370,2255,2329,,1499,2404,,
668683,2325,2263,,,2016,2449,,
669060,2225,2097,,2322,1765,2286,,
669160,2454,2420,2745,,1815,3058,,
669203,2656,2688,2928,2850,1854,2853,,
669214,2349,,,2215,1563,2417,,
669270,2276,2211,,2321,1510,,,
669456,2254,2189,,2370,1725,2303,,
670036,2283,2140,2389,2458,,2586,,
670167,2093,2035,,,1321,2449,,
670280,2206,,2135,,,2249,1448,
670426,2508,,,2656,,,,
670456,2234,,,2469,,,,
670950,2139,,2030,,2391,2228,,
670970,2425,2478,,,1302,2613,,
671790,2239,2238,,2574,1376,2650,,
672335,2087,,,2545,1853,2262,,
672773,2286,,,2188,1747,,,
673258,2382,,,2071,1719,2062,,
673633,2199,,,2138,,,1271,
676606,2159,,,1960,1816,1939,,
677976,2051,1948,,,1657,2391,,