last_name, first_name,pitcher_id,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Strasburg, Stephen,544931,2170,2138,,2250,1683,2772,,
Cole, Gerrit,543037,2538,2509,,2622,1889,2896,,
Verlander, Justin,434378,2574,,,2615,1873,2822,,
Corbin, Patrick,571578,2297,2202,,2398,1639,1989,,
Bauer, Trevor,545333,2415,2349,2632,2740,1697,2549,,
Rodriguez, Eduardo,593958,2202,2142,2226,2214,2049,2285,,
Greinke, Zack,425844,2328,2255,2409,2512,1787,2447,1703,
Flaherty, Jack,656427,2229,2017,,2393,1700,2506,,
Lynn, Lance,458681,2482,2308,2583,,1811,2352,,
Minor, Mike,501985,2650,,,2737,2287,2534,,
Nola, Aaron,605400,2171,2132,,,1570,2574,,
Morton, Charlie,450203,2265,2108,2437,,,2892,2124,
Scherzer, Max,453286,2483,,2439,2379,1541,2730,,
Bumgarner, Madison,518516,2405,2400,2488,,1641,2645,,
Bieber, Shane,669456,2254,2189,,2370,1725,2303,,
Berrios, Jose,621244,2191,2112,,,1705,2335,,
deGrom, Jacob,594798,2388,2281,,2454,1703,2567,,
Lopez, Reynaldo,625643,2137,,,2120,1610,2084,,
Wheeler, Zack,554430,2341,2256,,2386,1771,2647,1383,
Gonzales, Marco,594835,2208,2253,2245,,2171,2346,,
Boyd, Matthew,571510,2384,2356,2330,2377,1959,2248,,
Syndergaard, Noah,592789,2197,2106,,2178,1689,2275,,
Alcantara, Sandy,645261,2356,2393,,2477,1923,2481,,
Castillo, Luis,622491,2170,2073,,2330,1972,,,
Ray, Robbie,592662,2257,2182,,2145,,2045,,
Teheran, Julio,527054,2399,2264,,2603,1704,2762,,
Buehler, Walker,621111,2467,2354,2724,2901,1516,2947,,
Stroman, Marcus,573186,2455,2345,2615,2838,1929,2671,,
Lester, Jon,452657,2251,2143,2391,,1939,2606,,
Tanaka, Masahiro,547888,2141,1917,2085,2386,,2390,1589,
Wainwright, Adam,425794,2195,2178,2345,,1769,2754,,
Samardzija, Jeff,502188,2571,2480,2607,2449,,2498,1451,
Nova, Ivan,467100,2246,2162,2143,,2000,2258,,
Mikolas, Miles,571945,2304,2227,,2321,1707,2585,,
Sanchez, Anibal,434671,2243,2140,2318,2306,1447,2114,1722,
Leake, Mike,502190,2086,2022,2232,2506,1719,2572,,
Kelly, Merrill,518876,2411,2313,2433,,2109,2683,,
Porcello, Rick,519144,2434,2289,,2555,1600,2810,,
Hudson, Dakota,641712,2168,2134,,2431,1489,2201,,
Miley, Wade,489119,2210,2057,2259,2398,1870,2432,,
Junis, Jakob,596001,2079,1923,,2522,1336,2421,,
Paxton, James,572020,2264,,2080,,2076,2021,,
Roark, Tanner,543699,2145,2087,,2255,1701,2746,,
Odorizzi, Jake,543606,2240,,2163,,,2253,1492,
Darvish, Yu,506433,2529,2280,2651,2725,1322,2624,1438,
Fiers, Mike,571666,2322,2256,,2481,1933,2781,,
Giolito, Lucas,608337,2333,,,2036,1563,2512,,
Gray, Sonny,543243,2527,2441,2570,2868,2047,2988,,
Bailey, Homer,456701,2092,2031,,1837,,1925,1121,
Gibson, Kyle,502043,2210,2099,,2469,1661,2481,,
Ryu, Hyun-Jin,547943,2085,2021,2066,2379,1496,2577,,
Bundy, Dylan,605164,2458,2288,,2573,1569,2404,,
Perez, Martin,527048,2131,2051,2307,,1795,2637,,
Happ, J.A.,457918,2320,2104,,2191,1713,2214,,
Thornton, Trent,663423,2373,2317,2694,3089,,2795,1509,
Fried, Max,608331,2077,1990,2115,2566,1514,2846,,
Quintana, Jose,500779,2016,1977,,,1287,2215,,
Keller, Brad,641745,2295,2100,,2510,1698,,,
Matz, Steven,571927,,2102,,2069,2301,2447,,
Hendricks, Kyle,543294,2044,1959,,,2115,2784,,
Means, John,607644,2376,,,2324,2331,2239,,
Kershaw, Clayton,477132,2479,,,2671,2210,2465,,
Davies, Zach,605200,,2233,2313,2426,1785,2636,,
Smith, Caleb,592761,2425,,,2297,1918,,,
Anderson, Brett,474463,2028,1799,,2384,1481,2393,,
Turnbull, Spencer,605513,2396,2188,,2438,1810,2570,,
Musgrove, Joe,605397,2419,2278,2514,2495,2001,2575,,
Soroka, Mike,647336,2363,2177,,2780,2180,,,
Lucchesi, Joey,664192,,2215,2232,,2091,,,
Kikuchi, Yusei,579328,2096,,,2220,1772,2527,,
Marquez, German,608566,2225,2171,,2371,1969,2693,,
DeSclafani, Anthony,543101,2249,2086,,2315,1535,2048,,
Eflin, Zach,621107,2186,2090,2227,2247,1787,2416,,
Cashner, Andrew,488768,2204,2048,,2255,1545,2349,,
Vargas, Jason,450306,2234,2203,,,2208,2433,,
Lauer, Eric,641778,2216,,2211,2393,1982,2376,,
Maeda, Kenta,628317,2289,2229,,2518,1517,2687,,
Sale, Chris,519242,2383,2293,,2492,1965,,,
Bassitt, Chris,605135,2220,2146,2253,2313,2057,2238,,
Hamels, Cole,430935,2059,2034,1994,,1713,2040,,
Lyles, Jordan,543475,2162,2135,,2333,1549,2491,,
Gray, Jon,592351,2066,1799,,2220,1559,2518,,
Norris, Daniel,596057,2385,2231,,2512,1568,2536,,
Williams, Trevor,592866,2203,1937,,2202,1814,2259,,
Sanchez, Aaron,592717,2252,2241,,,1810,2841,,
Anderson, Chase,502624,2166,2167,2382,,2311,2170,,
Richards, Trevor,670950,2139,,2030,,2391,2228,,
Paddack, Chris,663978,2230,,,,1707,2145,,
Sparkman, Glenn,642098,2251,,2071,2411,2032,2477,,
German, Domingo,593334,2440,2420,,,2414,2599,,
Senzatela, Antonio,622608,2102,,,2136,2059,2214,,
Wacha, Michael,608379,2032,1940,2097,,1606,2066,,
Arrieta, Jake,453562,2275,2196,,2363,1730,2766,,
Pineda, Michael,501381,1999,1953,,2011,1864,,,
Duffy, Danny,518633,2242,2181,,2310,2295,2346,,
Mahle, Tyler,641816,2161,,2457,,,2595,1632,
Smyly, Drew,592767,2086,,2041,,1209,1950,,
Velasquez, Vince,592826,2398,2025,,2467,,2475,,
Yarbrough, Ryan,642232,2100,1988,2176,,2125,2405,,
Archer, Chris,502042,2264,2237,,2613,1642,2676,,
Clevinger, Mike,605182,2341,,,2516,1540,2310,,
Lopez, Jorge,605347,1945,1878,,2199,1574,2450,,
Sampson, Adrian,592716,,2016,,2595,1856,2516,,
Jurado, Ariel,642558,2031,1770,,2124,1946,2267,,
Woodruff, Brandon,605540,2263,2168,,2327,1796,2298,,
Beede, Tyler,595881,2320,2260,,2199,1600,2292,,
Keuchel, Dallas,572971,2127,2008,2139,2245,1577,,,
Brault, Steven,643230,2068,1888,2211,2192,1582,2032,,
Foltynewicz, Mike,592314,2236,2181,,2442,1870,2435,,
Chirinos, Yonny,630023,2399,2278,,2335,,,1294,
Snell, Blake,605483,2358,,,2368,1822,2466,,
Pomeranz, Drew,519141,2437,2358,2346,,1967,2282,,
LeBlanc, Wade,453281,1935,1888,2005,,1544,2272,,
Chacin, Jhoulys,468504,2158,2080,,2354,1422,2582,,
Brooks, Aaron,605156,2083,2013,,2467,1645,2271,,
Plesac, Zach,668676,2133,,,2028,1543,1955,,
Zimmermann, Jordan,519455,2284,2201,,2288,1708,2372,,
Price, David,456034,2209,2188,2193,,1800,2264,,
Beeks, Jalen,656222,2005,2047,2167,,1837,2586,,
Ynoa, Gabriel,593679,2049,2029,,2280,2007,2306,,
Houser, Adrian,605288,2193,2145,,2216,1553,2004,,
Lopez, Pablo,641154,2069,2036,,,1943,2358,,
Plutko, Adam,592644,2265,,,2460,1630,2886,,
Strahm, Matt,621381,2308,2315,,2461,2086,2570,,
Quantrill, Cal,615698,2135,2060,,2346,1429,2326,,
Freeland, Kyle,607536,2291,2269,,2235,1519,2256,,
Sabathia, CC,282332,2098,2053,2195,2210,1885,,,
Cahill, Trevor,502239,2220,2207,2154,,1566,2950,,
Heaney, Andrew,571760,,2524,,,1988,2545,,
Milone, Tommy,543548,2192,,,2328,1745,2471,,
Rodriguez, Dereck,605446,2051,2058,2165,,1935,2589,,
Gausman, Kevin,592332,2250,,,2264,,,1593,
Pivetta, Nick,601713,2340,2146,,2306,1928,2861,,
Peacock, Brad,502748,2295,2228,,2749,1975,2599,,
Peralta, Freddy,642547,2454,,,,1966,2424,,
Anderson, Shaun,641312,2495,2335,,2649,1454,2519,,
Lambert, Peter,663567,2256,2247,,2164,1534,2277,,
Montgomery, Mike,543557,1978,1888,2050,,1787,2281,,
Pena, Felix,570240,2091,2099,,2498,1675,,,
Canning, Griffin,656288,2335,,,2506,1671,2425,,
Godley, Zack,643327,2255,2202,2238,,1717,2123,,
Font, Wilmer,521655,2370,2270,,2259,,2492,1333,
Clarke, Taylor,664199,2316,2166,,2227,1520,2484,,
Barria, Jaime,642545,2248,2215,,2239,1478,,,
Suarez, Jose,660761,2243,,,2476,1608,2788,,
Montas, Frankie,593423,2421,2359,,2509,,,1636,
Holland, Derek,502706,,2386,,2243,1864,2098,,
Wojciechowski, Asher,592879,2235,,,2408,2000,2371,,
Stripling, Ross,548389,2274,2134,2314,2370,1585,2652,,
Hernandez, Elieser,622694,2247,2174,,2245,1886,,,
Green, Chad,643338,2468,,,2256,,,1995,
Hess, David,605276,2184,2039,,2322,1595,2351,,
Gaviglio, Sam,543208,,2092,,2140,1232,2128,,
Cessa, Luis,570666,2304,2233,,2501,1643,2397,,
Gonzalez, Gio,461829,2261,2145,,,1623,2688,,
Urias, Julio,628711,2512,2458,,2586,1855,2743,,
Gallen, Zac,668678,2370,2255,2329,,1499,2404,,
Skaggs, Tyler,572140,2193,,,,1699,2608,,
Yamamoto, Jordan,657141,2248,2371,2517,2793,1855,2637,,
Urena, Jose,570632,2044,2157,,2315,1712,2328,,
Hudson, Daniel,543339,2474,2445,,2638,2384,,,
Cease, Dylan,656302,2449,2403,,2622,1626,2622,,
Guerra, Junior,448855,2459,2353,,,,2651,1235,
Waguespack, Jacob,621097,2011,1983,1984,2121,1519,2168,,
Hendriks, Liam,521230,2383,2160,,2159,,2122,,
Jackson, Luke,592426,2303,,,2580,2134,2650,,
Young, Alex,622065,2219,2208,2347,,1794,2379,,
Ramirez, Nick,598286,2032,1972,2178,,1471,2281,,
Jackson, Edwin,429719,2270,2112,2339,2299,2221,2518,,
Barnes, Matt,598264,2411,,,,,2274,2113,
Chavez, Jesse,445926,2312,2124,2311,2333,2063,2429,,
Barlow, Scott,605130,2303,2200,,2445,1593,2516,,
Cortes Jr., Nestor,641482,2191,2159,,2320,1467,2256,,
Lorenzen, Michael,547179,2538,2372,2596,2635,2150,2531,,
Stanek, Ryne,592773,2363,,,2251,,,1103,
McHugh, Collin,543521,2317,2322,2560,2825,1625,2797,,
James, Josh,657624,2424,,,2549,1866,2574,,
Fedde, Erick,607200,1795,1809,2074,,,2355,1627,
Chatwood, Tyler,543022,2479,2516,2760,,1789,3092,,
Bradley, Archie,605151,2242,2134,,,1533,1978,,
Brebbia, John,605154,2392,,,2607,2174,,,
Leclerc, Jose,600917,2655,2430,,2713,2206,2667,,
Peters, Dillon,596071,2245,2182,,2388,1606,2909,,
Carrasco, Carlos,471911,2391,2258,,2729,1447,2886,,
Lugo, Seth,607625,2220,2238,,2435,1736,3285,,
Walden, Marcus,519393,2228,2100,2279,2381,,,,
Eovaldi, Nathan,543135,2186,,2345,2237,,2174,1578,
Hoffman, Jeff,656546,2453,,,2486,1425,2624,,
Pannone, Thomas,623381,2219,,,2348,1881,2447,,
Stammen, Craig,489334,2129,2170,,2341,2009,2363,,
Stratton, Chris,608717,2498,2521,2453,2922,2106,3107,,
Workman, Brandon,519443,2126,,2196,,,2608,,
Ottavino, Adam,493603,2393,2395,2682,2879,,,,
Estevez, Carlos,608032,2248,2215,,2394,1717,,,
Suero, Wander,593833,2471,,2555,,2103,2834,,
Ross, Joe,605452,2157,2098,,1936,1686,2109,,
Castro, Miguel,612434,,2287,,3029,2199,,,
Lamet, Dinelson,659275,2407,2380,,2653,1802,2710,,
Newcomb, Sean,656794,2243,,,2859,1618,2881,,
Doolittle, Sean,448281,2222,,,2399,,,2133,
Hernandez, Felix,433587,2151,2060,,2317,1734,2441,,
Buttrey, Ty,621142,2233,2047,,1868,1835,,,
Castillo, Diego,650895,2052,2127,,2351,,,,
Gallegos, Giovanny,606149,2429,,,2243,1938,,,
Andriese, Matt,542882,2337,2180,,2460,2223,2671,,
Devenski, Chris,606965,2369,,,2296,1664,,,
Law, Derek,571882,2132,,,2245,2014,2045,,
Diekman, Jake,518617,2212,2095,,2814,1609,,,
Shaw, Bryan,543766,,,2396,2721,1549,2593,,
May, Trevor,543507,2348,2345,,2556,1988,2527,,
Valdez, Framber,664285,2228,2176,,,1802,2960,,
Anderson, Nick,623433,2332,,,,,2101,,
Tomlin, Josh,458708,2189,2142,2608,,1742,2805,,
Petit, Yusmeiro,433589,2230,,2224,,1887,2125,,
Hader, Josh,623352,2124,1771,,2618,1590,,,
Detwiler, Ross,446321,2214,2098,2257,2177,1644,2145,,
Farmer, Buck,571656,2346,,,2657,1800,,,
Chen, Wei-Yin,612672,2138,2058,,2291,1372,2299,,
Rodriguez, Richard,593144,2506,2432,,2421,1833,,,
Agrazal, Dario,642607,2270,2233,,2247,1786,,,
Gonzalez, Chi Chi,592346,2428,2302,2535,2632,1708,,,
Biagini, Joe,607352,2032,2156,2243,,1564,2821,,
Robles, Hansel,570663,2431,2423,,2406,1588,,,
Pagan, Emilio,641941,2486,,2352,,,2544,,
Kahnle, Tommy,592454,2289,,,2484,1483,,,
Melancon, Mark,453343,2342,,2350,,,2709,1806,
Armstrong, Shawn,542888,2521,,2597,2863,,,,
Liriano, Francisco,434538,2069,2047,,2289,1684,,,
Neris, Hector,593576,2477,2373,,,,,1519,
Baez, Pedro,520980,2328,2307,,1743,2000,,,
Guerra, Javy,457915,2089,,,2101,1574,2288,,
Osuna, Roberto,532077,2491,2369,2515,2505,1876,2565,,
Iglesias, Raisel,628452,2364,2428,,2531,1872,,,
Cishek, Steve,518553,2409,2372,,2282,1975,,,
Ramirez, Noe,598287,2243,,,,2001,2741,,
Soto, Gregory,642397,2324,2345,,2326,2036,,,
Hughes, Jared,453172,2141,1869,,2095,1551,2074,,
Soria, Joakim,465657,2302,2338,,2711,1500,2751,,
Kennedy, Ian,453178,2439,,2209,,2027,2687,,
Givens, Mychal,571710,2383,,,2476,2101,,,
Chapman, Aroldis,547973,2486,2539,,2489,1695,,,
Gant, John,607231,2520,2466,2643,,1509,2653,,
Fry, Paul,643316,2404,,,2737,1840,,,
Gsellman, Robert,607229,2200,2208,,2429,1748,2748,,
Diaz, Edwin,621242,2371,2349,,2367,,,,
Rogers, Taylor,573124,2222,2077,,2534,,2663,,
Jansen, Kenley,445276,2334,,2557,2389,,,,
Conley, Adam,543045,2330,,,2112,2033,2208,,
Jimenez, Joe,641729,2528,,,2329,2091,,,
Fry, Jace,605240,2446,2335,2609,,1624,2412,,
Weaver, Luke,596133,2308,2455,2213,,1572,2216,,
Osich, Josh,592612,2367,2359,2269,2288,1686,,,
Ryan, Kyle,594986,2070,1982,2187,,1773,2424,,
Harris, Will,501789,2520,,2533,,,2774,,
Mengden, Daniel,596043,2217,2086,2178,2342,1945,2526,,
Garcia, Luis,472610,2098,2071,,2315,,,1060,
Britton, Zack,502154,,2002,,2568,,,,
Smith, Will,519293,2219,,,2333,1837,2022,,
Romo, Sergio,489265,2308,2171,,2824,2155,,,
Familia, Jeurys,544727,2211,2180,,2245,,,1754,
Perdomo, Luis,606131,1977,1891,,2295,,,1569,
Bummer, Aaron,607481,2091,2033,2227,2245,1636,,,
Moronta, Reyes,606625,2385,,,2577,2081,,,
Miller, Andrew,453192,2086,1994,,2605,2732,,,
Bettis, Chad,518452,2037,2023,2292,,1370,2539,,
Duffey, Tyler,608648,2309,2433,,2553,1798,2385,,
Kingham, Nick,592468,2311,2165,2281,2355,2045,2373,,
Rainey, Tanner,663432,2438,,,2489,1538,,,
Martin, Brett,656685,2348,2272,,2276,,2256,,
Yates, Kirby,489446,2307,,,2265,,,1399,
Parker, Blake,453284,2140,,2181,,,2170,1045,
Glasnow, Tyler,607192,2322,,,,1774,2926,,
Covey, Dylan,592229,2124,2070,2162,2045,1306,2447,,
Brewer, Colten,605155,2213,,2374,2587,1894,2825,,
Feliz, Michael,593140,2312,,,2374,1950,,,
Bedrosian, Cam,592135,2377,,,2630,,,1791,
Rondon, Hector,444468,2087,2038,,2343,1814,,,
Hill, Rich,448179,2472,2412,2646,2835,1681,2914,,
Albers, Matt,458006,2139,2036,,2405,1530,,,
Stephenson, Robert,596112,2434,,,2799,1644,,,
Treinen, Blake,595014,2415,2250,2489,2609,,,,
Garcia, Yimi,554340,2593,2507,,2663,1946,2801,,
Brach, Brad,542960,2210,2117,2390,2509,1871,,,
Drake, Oliver,543118,2149,,2176,,,,1084,
Greene, Shane,572888,2295,2173,2472,2591,1714,,,
Alvarez, Jose,501625,2392,2347,2374,2354,1921,2395,,
Velazquez, Hector,584171,2175,2052,,2120,1480,2162,,
Rodney, Fernando,407845,2187,2037,,2253,1740,,,
Brasier, Ryan,518489,2359,2320,,2481,1566,,,
Colome, Alex,517008,2127,,2149,,2138,,,
Roe, Chaz,475054,2490,2440,2698,2956,,2646,,
Eickhoff, Jerad,595191,2415,2391,,2564,,2744,,
Swanson, Erik,657024,2274,,,2226,1640,,,
Claudio, Alex,592222,2056,1984,,2238,2177,2099,,
Wittgren, Nick,621295,2189,,,2450,1891,2211,,
Straily, Dan,573185,2365,2208,,2643,1669,2729,,
Buchholz, Clay,453329,2148,2120,2273,,1538,2707,,
Erlin, Robbie,572362,2376,2242,,2491,1546,2598,,
Vazquez, Felipe,553878,2622,2470,,2746,2021,2784,,
Margevicius, Nick,676606,2159,,,1960,1816,1939,,
Trivino, Lou,642152,2111,2146,2434,,1765,2505,,
Kelly, Joe,523260,2158,2128,,,2079,3104,,
Garrett, Amir,607237,2117,2065,,1832,,,,
Webb, Tyler,643778,2197,2144,,,1766,2294,,
Banuelos, Manny,544365,2131,1896,,2265,1663,2602,,
Hand, Brad,543272,2420,2303,,2474,,,,
VerHagen, Drew,572403,2318,2239,,2279,2127,2414,,
Harvey, Matt,518774,2171,2170,,2413,1774,2516,,
Swarzak, Anthony,461872,2284,2117,,2449,,,,
Wisler, Matt,605538,2160,2174,,2478,,2651,,
Hirano, Yoshihisa,673633,2199,,,2138,,,1271,
Crick, Kyle,605195,2368,2274,,3246,2193,,,
Clippard, Tyler,461325,2363,2253,,,2042,2178,1450,
Pressly, Ryan,519151,2567,,,2742,,3302,,
Mayza, Tim,641835,2114,2144,,2186,,,,
Poche, Colin,621363,2291,,,,,2497,1261,
Alexander, Tyler,641302,2257,2227,,2441,1584,2427,,
Gott, Trevor,641627,2156,2036,,2314,1333,2099,,
Cole, Taylor,518566,2282,,2271,2395,1956,2535,,
Ponce de Leon, Daniel,594965,2336,,2474,2426,2227,2723,,
Herrera, Kelvin,516969,2229,2192,2289,2676,1781,,,
Wingenter, Trey,622259,2151,,,2180,,,,
Gearrin, Cory,518715,2311,2276,,2826,2225,,,
McCarthy, Kevin,641838,2161,1985,,2111,1813,2133,,
Guerrero, Tayron,594027,2178,2153,,1954,,,,
Oberg, Scott,623184,2225,2261,,2537,1952,,,
McKay, Brendan,656713,2236,,2152,,1668,2037,,
Anderson, Justin,605121,2284,2279,,2260,1830,,,
McFarland, T.J.,519008,1859,1915,,2252,1731,,,
Chafin, Andrew,605177,2193,2178,,2361,,,,
Diaz, Jairo,545064,2203,2142,,2413,,,,
Burnes, Corbin,669203,2656,2688,2928,2850,1854,2853,,
Magill, Matt,543483,2334,,2388,2501,2361,2550,,
Holmes, Clay,605280,2121,2013,,2424,1563,2684,,
Kinley, Tyler,641755,2272,,,2539,,,,
Lopez, Yoan,661255,2195,,,2411,1457,,,
Martin, Chris,455119,2297,2271,2256,2299,1663,,,
Urquidy, Jose,664353,2308,,,2587,2160,2606,,
Miller, Shelby,571946,2328,2310,2188,,1870,2325,,
Civale, Aaron,650644,2415,2268,2624,2805,2089,2930,,
Jeffress, Jeremy,502026,2185,2017,,,,2385,1681,
Martinez, Carlos,593372,2128,2003,2293,2156,1896,,,
Kintzler, Brandon,445213,2021,2018,,2297,2130,,,
Harper, Ryne,607560,1821,,1757,,1076,2333,,
